Relations,Mutation class,Mutation path from class representative,Coxeter polynomial,Numbering,Hereditary form
,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
1;2;3,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
1;2;3|2;3;4,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
1;2;3|2;3;4|3;4;5,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
1;2;3|2;3;4|3;4;5|4;5;6,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
1;2;3|2;3;4|3;4;5;6,"P^(3)_(1,1)",,lambda**6 + lambda**5 + lambda + 1,1;2;3;4;5;6,"P^(3)_(1,1)"
1;2;3|2;3;4|4;5;6,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
1;2;3|2;3;4;5,"P^(2)_(1,2)",,lambda**6 + lambda**5 - lambda**3 + lambda + 1,1;2;3;4;5;6,"P^(2)_(1,2)"
1;2;3|2;3;4;5|3;4;5;6,"P^(3)_(1,1)",-6;-4,lambda**6 + lambda**5 + lambda + 1,1;2;4;3;6;5,"P^(3)_(1,1)"
1;2;3|2;3;4;5|4;5;6,"P^(2)_(1,2)",,lambda**6 + lambda**5 - lambda**3 + lambda + 1,1;2;3;4;5;6,"P^(2)_(1,2)"
1;2;3|2;3;4;5;6,"P^(2)_(1,2)",,lambda**6 + lambda**5 - lambda**3 + lambda + 1,1;2;3;4;5;6,"P^(2)_(1,2)"
1;2;3|3;4;5,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
1;2;3|3;4;5|4;5;6,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
1;2;3|3;4;5;6,"P^(3)_(1,1)",,lambda**6 + lambda**5 + lambda + 1,1;2;3;4;5;6,"P^(3)_(1,1)"
1;2;3|4;5;6,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
1;2;3;4,"P^(3)_(1,1)",,lambda**6 + lambda**5 + lambda + 1,1;2;3;4;5;6,"P^(3)_(1,1)"
1;2;3;4|2;3;4;5,"P^(3)_(1,1)",-6;-4;1;1;1,lambda**6 + lambda**5 + lambda + 1,2;4;3;6;1;5,"P^(3)_(1,1)"
1;2;3;4|2;3;4;5|3;4;5;6,"P^(2)_(1,2)",-5;-5,lambda**6 + lambda**5 - lambda**3 + lambda + 1,1;5;2;3;4;6,"P^(2)_(1,2)"
1;2;3;4|2;3;4;5|4;5;6,"P^(3)_(1,1)",-6;-4;1;1;1;1,lambda**6 + lambda**5 + lambda + 1,2;4;3;6;5;1,"P^(3)_(1,1)"
1;2;3;4|2;3;4;5;6,"P^(2)_(1,2)",-5;-5;1;1,lambda**6 + lambda**5 - lambda**3 + lambda + 1,5;2;3;1;4;6,"P^(2)_(1,2)"
1;2;3;4|3;4;5,"P^(3)_(1,1)",,lambda**6 + lambda**5 + lambda + 1,1;2;3;4;5;6,"P^(3)_(1,1)"
1;2;3;4|3;4;5|4;5;6,"P^(3)_(1,1)",,lambda**6 + lambda**5 + lambda + 1,1;2;3;4;5;6,"P^(3)_(1,1)"
1;2;3;4|3;4;5;6,"P^(1,1)_(1,0,1)",,lambda**6 + lambda**5 - lambda**4 - 2*lambda**3 - lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(1,1)_(1,0,1)"
1;2;3;4|4;5;6,"P^(3)_(1,1)",,lambda**6 + lambda**5 + lambda + 1,1;2;3;4;5;6,"P^(3)_(1,1)"
1;2;3;4;5,"P^(2)_(1,2)",,lambda**6 + lambda**5 - lambda**3 + lambda + 1,1;2;3;4;5;6,"P^(2)_(1,2)"
1;2;3;4;5|2;3;4;5;6,"P^(2)_(1,2)",-5;-5,lambda**6 + lambda**5 - lambda**3 + lambda + 1,5;1;2;3;4;6,"P^(2)_(1,2)"
1;2;3;4;5|3;4;5;6,"P^(2)_(1,2)",-5;-5;5;1;1;5;5,lambda**6 + lambda**5 - lambda**3 + lambda + 1,2;3;1;4;6;5,"P^(2)_(1,2)"
1;2;3;4;5|4;5;6,"P^(2)_(1,2)",,lambda**6 + lambda**5 - lambda**3 + lambda + 1,1;2;3;4;5;6,"P^(2)_(1,2)"
1;2;3;4;5;6,"P^(3)_(1,1)",,lambda**6 + lambda**5 + lambda + 1,1;2;3;4;5;6,"P^(3)_(1,1)"
2;3;4,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
2;3;4|3;4;5,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
2;3;4|3;4;5|4;5;6,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
2;3;4|3;4;5;6,"P^(3)_(1,1)",,lambda**6 + lambda**5 + lambda + 1,1;2;3;4;5;6,"P^(3)_(1,1)"
2;3;4|4;5;6,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
2;3;4;5,"P^(2)_(1,2)",,lambda**6 + lambda**5 - lambda**3 + lambda + 1,1;2;3;4;5;6,"P^(2)_(1,2)"
2;3;4;5|3;4;5;6,"P^(3)_(1,1)",-6;-4;1,lambda**6 + lambda**5 + lambda + 1,2;1;4;3;6;5,"P^(3)_(1,1)"
2;3;4;5|4;5;6,"P^(2)_(1,2)",,lambda**6 + lambda**5 - lambda**3 + lambda + 1,1;2;3;4;5;6,"P^(2)_(1,2)"
2;3;4;5;6,"P^(2)_(1,2)",,lambda**6 + lambda**5 - lambda**3 + lambda + 1,1;2;3;4;5;6,"P^(2)_(1,2)"
3;4;5,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
3;4;5|4;5;6,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
3;4;5;6,"P^(3)_(1,1)",,lambda**6 + lambda**5 + lambda + 1,1;2;3;4;5;6,"P^(3)_(1,1)"
4;5;6,"P^(0)_(0,5)",,lambda**6 + lambda**5 + lambda**4 + lambda**3 + lambda**2 + lambda + 1,1;2;3;4;5;6,"P^(0)_(0,5)"
